iteration, match, nodes, edges, time
0, true, 4, 3, 64 ms
1, true, 7, 6, 16 ms
2, true, 10, 9, 21 ms
3, true, 13, 12, 24 ms
4, true, 16, 15, 17 ms
5, true, 19, 18, 16 ms
6, true, 22, 21, 18 ms
7, true, 25, 24, 15 ms
8, true, 28, 27, 16 ms
9, true, 31, 30, 18 ms
10, true, 34, 33, 19 ms
11, true, 37, 36, 18 ms
12, true, 40, 39, 20 ms
13, true, 43, 42, 18 ms
14, true, 46, 45, 20 ms
15, true, 49, 48, 21 ms
16, true, 52, 51, 24 ms
17, true, 55, 54, 24 ms
18, true, 58, 57, 21 ms
19, true, 61, 60, 24 ms
20, true, 64, 63, 24 ms
21, true, 67, 66, 24 ms
22, true, 70, 69, 21 ms
23, true, 73, 72, 24 ms
24, true, 76, 75, 32 ms
25, true, 79, 78, 28 ms
26, true, 82, 81, 39 ms
27, true, 85, 84, 32 ms
28, true, 88, 87, 27 ms
29, true, 91, 90, 27 ms
30, true, 94, 93, 27 ms
31, true, 97, 96, 27 ms
32, true, 100, 99, 29 ms
33, true, 103, 102, 28 ms
34, true, 106, 105, 31 ms
35, true, 109, 108, 27 ms
36, true, 112, 111, 29 ms
37, true, 115, 114, 26 ms
38, true, 118, 117, 36 ms
39, true, 121, 120, 32 ms
40, true, 124, 123, 34 ms
41, true, 127, 126, 31 ms
42, true, 130, 129, 33 ms
43, true, 133, 132, 36 ms
44, true, 136, 135, 32 ms
45, true, 139, 138, 35 ms
46, true, 142, 141, 38 ms
47, true, 145, 144, 36 ms
48, true, 148, 147, 38 ms
49, true, 151, 150, 38 ms
50, true, 154, 153, 36 ms
51, true, 157, 156, 36 ms
52, true, 160, 159, 39 ms
53, true, 163, 162, 40 ms
54, true, 166, 165, 39 ms
55, true, 169, 168, 40 ms
56, true, 172, 171, 37 ms
57, true, 175, 174, 36 ms
58, true, 178, 177, 40 ms
59, true, 181, 180, 41 ms
60, true, 184, 183, 39 ms
61, true, 187, 186, 40 ms
62, true, 190, 189, 43 ms
63, true, 193, 192, 42 ms
64, true, 196, 195, 40 ms
65, true, 199, 198, 45 ms
66, true, 202, 201, 41 ms
67, true, 205, 204, 45 ms
68, true, 208, 207, 42 ms
69, true, 211, 210, 43 ms
70, true, 214, 213, 44 ms
71, true, 217, 216, 46 ms
72, true, 220, 219, 46 ms
73, true, 223, 222, 47 ms
74, true, 226, 225, 47 ms
75, true, 229, 228, 49 ms
76, true, 232, 231, 47 ms
77, true, 235, 234, 47 ms
78, true, 238, 237, 52 ms
79, true, 241, 240, 49 ms
80, true, 244, 243, 50 ms
81, true, 247, 246, 49 ms
82, true, 250, 249, 48 ms
83, true, 253, 252, 55 ms
84, true, 256, 255, 53 ms
85, true, 259, 258, 55 ms
86, true, 262, 261, 62 ms
87, true, 265, 264, 62 ms
88, true, 268, 267, 54 ms
89, true, 271, 270, 59 ms
90, true, 274, 273, 60 ms
91, true, 277, 276, 55 ms
92, true, 280, 279, 61 ms
93, true, 283, 282, 61 ms
94, true, 286, 285, 67 ms
95, true, 289, 288, 65 ms
96, true, 292, 291, 61 ms
97, true, 295, 294, 60 ms
98, true, 298, 297, 65 ms
99, true, 301, 300, 70 ms